ID,affect_x-CS,affect_x-CXS,affect_y-CS,affect_y-CXS
2009,2.75,3.0,3.0,2.75
2054,3.75,3.25,3.0,4.25
2072,3.25,3.25,3.25,3.5
2081,3.25,3.0,3.25,2.5
3024,3.0,3.0,2.75,3.25
3036,3.5,1.75,2.25,1.75
3054,3.25,3.25,3.75,3.75
4005,2.5,2.5,2.5,2.75
4010,2.75,2.75,2.75,3.25
5065,2.5,3.5,3.25,3.5
5104,3.0,3.0,3.5,2.75
6016,3.0,2.0,2.5,2.25
6064,3.0,3.0,3.5,3.0
6066,3.0,3.5,2.5,2.75
7072,3.25,3.25,3.25,3.0
8028,3.0,3.25,3.25,2.5
8035,3.0,3.0,3.0,3.25
8063,4.0,3.5,3.25,3.5
8070,4.0,2.5,4.25,3.25
9377,3.25,3.25,3.25,3.0
