,ID,groups,order,active,inactive
0,2009,CS-CXS,CS first,1.296875,1.28125
1,2036,CS-DCS,CS last,1.953125,1.3984375
2,2054,CS-CXS,CS first,1.1875,1.2265625
3,2063,CS-DCXS,CS first,1.59375,1.375
4,2072,CS-CXS,CS last,1.953125,1.8125
5,2081,CS-CXS,CS last,0.015625,0.5078125
6,2090,CS-DCXS,CS first,1.9765625,1.9609375
7,3006,CS-DCXS,CS last,1.953125,1.9609375
8,3012,CS-DCS,CS first,0.5234375,0.765625
9,3018,CS-DCXS,CS last,1.96875,1.9765625
10,3024,CS-CXS,CS first,1.6015625,1.8984375
11,3036,CS-CXS,CS last,0.578125,0.890625
12,3048,CS-DCS,CS first,0.015625,0.015625
13,3054,CS-CXS,CS last,0.453125,0.671875
14,3060,CS-DCXS,CS last,0.015625,0.7109375
15,4005,CS-CXS,CS last,1.96875,1.984375
16,4010,CS-CXS,CS first,1.7265625,1.7890625
17,4015,CS-DCXS,CS first,1.984375,1.984375
18,4020,CS-DCXS,CS last,0.9453125,0.8203125
19,4025,CS-DCS,CS last,0.140625,0.1484375
20,4030,CS-DCS,CS first,1.9296875,1.609375
21,4035,CS-DCS,CS first,0.0234375,0.15625
22,4050,CS-DCS,CS last,1.453125,1.515625
23,5026,CS-DCXS,CS last,1.8671875,1.640625
24,5039,CS-DCXS,CS last,1.984375,1.984375
25,5065,CS-CXS,CS first,1.765625,1.8203125
26,5091,CS-DCXS,CS first,0.546875,0.3359375
27,5104,CS-CXS,CS last,1.796875,1.9375
28,5117,CS-DCXS,CS first,1.984375,1.8046875
29,5130,CS-DCXS,CS first,1.96875,1.8125
30,6008,CS-DCXS,CS first,1.3515625,1.2265625
31,6016,CS-CXS,CS first,0.015625,0.015625
32,6024,CS-DCS,CS first,0.03125,0.140625
33,6032,CS-DCS,CS first,1.359375,1.7578125
34,6048,CS-DCXS,CS first,1.7265625,1.2734375
35,6064,CS-CXS,CS first,1.421875,1.078125
36,6066,CS-CXS,CS last,0.015625,0.5
37,6072,CS-DCXS,CS last,1.984375,1.9765625
38,6080,CS-DCXS,CS last,1.984375,1.734375
39,7012,CS-DCXS,CS first,1.953125,1.984375
40,7024,CS-DCS,CS last,0.3359375,0.9609375
41,7036,CS-DCS,CS first,1.40625,1.453125
42,7048,CS-DCS,CS first,0.859375,0.859375
43,7072,CS-CXS,CS last,1.3984375,0.734375
44,7084,CS-DCXS,CS last,1.9296875,1.953125
45,7096,CS-DCXS,CS last,1.21875,1.1953125
46,7108,CS-DCXS,CS last,1.5,1.3515625
47,8014,CS-DCS,CS last,1.984375,1.96875
48,8021,CS-DCS,CS last,1.3671875,1.2890625
49,8028,CS-CXS,CS last,0.5703125,0.3203125
50,8035,CS-CXS,CS first,1.796875,1.7734375
51,8042,CS-DCS,CS first,0.34375,0.5703125
52,8049,CS-DCXS,CS first,0.125,0.140625
53,8063,CS-CXS,CS last,1.546875,1.0390625
54,8070,CS-CXS,CS last,1.0078125,1.2421875
55,9034,CS-DCS,CS last,0.6171875,0.6171875
56,9068,CS-DCXS,CS last,0.015625,0.265625
57,9085,CS-DCS,CS first,1.2421875,1.5
58,9136,CS-DCXS,CS first,1.7421875,1.609375
59,9245,CS-DCS,CS last,1.984375,1.265625
60,9377,CS-CXS,CS first,1.578125,1.765625
