,,CS,CXS,CS,CXS
0,2009,1.296875,1.28125,0.0,1.0
1,2054,1.1875,1.2265625,0.0,1.0
2,2072,1.953125,1.8125,1.0,1.0
3,2081,0.015625,0.5078125,1.0,1.0
4,3024,1.6015625,1.8984375,0.0,1.0
5,3036,0.578125,0.890625,1.0,1.0
6,3054,0.453125,0.671875,1.0,1.0
7,4005,1.96875,1.984375,1.0,1.0
8,4010,1.7265625,1.7890625,0.0,1.0
9,5065,1.765625,1.8203125,0.0,1.0
10,5104,1.796875,1.9375,1.0,1.0
11,6016,0.015625,0.015625,0.0,1.0
12,6064,1.421875,1.078125,0.0,1.0
13,6066,0.015625,0.5,1.0,1.0
14,7072,1.3984375,0.734375,1.0,1.0
15,8028,0.5703125,0.3203125,1.0,1.0
16,8035,1.796875,1.7734375,0.0,1.0
17,8063,1.546875,1.0390625,1.0,1.0
18,8070,1.0078125,1.2421875,1.0,1.0
19,9377,1.578125,1.765625,0.0,1.0
