,,CS,DCS,CS,DCS
0,2036,1.953125,1.3984375,1.0,1.0
1,3012,0.5234375,0.765625,0.0,1.0
2,3048,0.015625,0.015625,0.0,1.0
3,4025,0.140625,0.1484375,1.0,1.0
4,4030,1.9296875,1.609375,0.0,1.0
5,4035,0.0234375,0.15625,0.0,1.0
6,4050,1.453125,1.515625,1.0,1.0
7,6024,0.03125,0.140625,0.0,1.0
8,6032,1.359375,1.7578125,0.0,1.0
9,7024,0.3359375,0.9609375,1.0,1.0
10,7036,1.40625,1.453125,0.0,1.0
11,7048,0.859375,0.859375,0.0,1.0
12,8014,1.984375,1.96875,1.0,1.0
13,8021,1.3671875,1.2890625,1.0,1.0
14,8042,0.34375,0.5703125,0.0,1.0
15,9034,0.6171875,0.6171875,1.0,1.0
16,9085,1.2421875,1.5,0.0,1.0
17,9245,1.984375,1.265625,1.0,1.0
