,,CS,DCXS,CS,DCXS
0,2063,1.59375,1.375,0.0,1.0
1,2090,1.9765625,1.9609375,0.0,1.0
2,3006,1.953125,1.9609375,1.0,1.0
3,3018,1.96875,1.9765625,1.0,1.0
4,3060,0.015625,0.7109375,1.0,1.0
5,4015,1.984375,1.984375,0.0,1.0
6,4020,0.9453125,0.8203125,1.0,1.0
7,5026,1.8671875,1.640625,1.0,1.0
8,5039,1.984375,1.984375,1.0,1.0
9,5091,0.546875,0.3359375,0.0,1.0
10,5117,1.984375,1.8046875,0.0,1.0
11,5130,1.96875,1.8125,0.0,1.0
12,6008,1.3515625,1.2265625,0.0,1.0
13,6048,1.7265625,1.2734375,0.0,1.0
14,6072,1.984375,1.9765625,1.0,1.0
15,6080,1.984375,1.734375,1.0,1.0
16,7012,1.953125,1.984375,0.0,1.0
17,7084,1.9296875,1.953125,1.0,1.0
18,7096,1.21875,1.1953125,1.0,1.0
19,7108,1.5,1.3515625,1.0,1.0
20,8049,0.125,0.140625,0.0,1.0
21,9068,0.015625,0.265625,1.0,1.0
22,9136,1.7421875,1.609375,0.0,1.0
