,ID,groups,order,active,inactive
0,2009,CS-CXS,CS first,2.136825889,2.418747336
1,2036,CS-DCS,CS last,4.985466957,5.078782111
2,2054,CS-CXS,CS first,2.682234585,1.904299438
3,2063,CS-DCXS,CS first,1.0419994,1.503473729
4,2072,CS-CXS,CS last,0.171193004,1.37160027
5,2081,CS-CXS,CS last,1.521624893,0.479814023
6,2090,CS-DCXS,CS first,2.037271827,8.823502958
7,3006,CS-DCXS,CS last,10.57722139,4.323768348
8,3012,CS-DCS,CS first,3.139923006,3.378880173
9,3018,CS-DCXS,CS last,6.048162699,7.800600946
10,3024,CS-CXS,CS first,6.25273934,6.949904561
11,3036,CS-CXS,CS last,1.013592303,0.988428801
12,3048,CS-DCS,CS first,4.931345522,6.597819924
13,3054,CS-CXS,CS last,0.74690792,0.518164843
14,3060,CS-DCXS,CS last,1.403296977,1.39571774
15,4005,CS-CXS,CS last,6.610125452,6.709229589
16,4010,CS-CXS,CS first,5.8699525,5.827048928
17,4015,CS-DCXS,CS first,6.346145868,4.923098028
18,4020,CS-DCXS,CS last,1.073206365,1.463096797
19,4025,CS-DCS,CS last,3.62702933,0.092736781
20,4030,CS-DCS,CS first,1.111238569,3.991026938
21,4035,CS-DCS,CS first,0.493913859,0.602610171
22,4050,CS-DCS,CS last,2.934789777,1.241467267
23,5026,CS-DCXS,CS last,7.642329752,6.042562783
24,5039,CS-DCXS,CS last,4.109154522,4.431202799
25,5065,CS-CXS,CS first,6.25459522,2.017246276
26,5091,CS-DCXS,CS first,1.332175463,0.583593428
27,5104,CS-CXS,CS last,1.926959634,1.347315222
28,5117,CS-DCXS,CS first,6.903995216,4.871521413
29,5130,CS-DCXS,CS first,1.742213935,1.371861339
30,6008,CS-DCXS,CS first,6.295553535,6.539051056
31,6016,CS-CXS,CS first,1.017442048,4.908284694
32,6024,CS-DCS,CS first,0.969105124,1.176901162
33,6032,CS-DCS,CS first,3.172792733,1.728960156
34,6048,CS-DCXS,CS first,3.771636546,2.081185013
35,6064,CS-CXS,CS first,1.050939411,0.630859464
36,6066,CS-CXS,CS last,5.181691498,3.166152596
37,6072,CS-DCXS,CS last,5.69055602,4.096939921
38,6080,CS-DCXS,CS last,6.0826208,1.550260991
39,7012,CS-DCXS,CS first,4.637084454,6.248952866
40,7024,CS-DCS,CS last,3.832455397,4.205498219
41,7036,CS-DCS,CS first,6.493551075,6.070142776
42,7048,CS-DCS,CS first,2.049452513,4.283780962
43,7072,CS-CXS,CS last,4.2829023,4.278674841
44,7084,CS-DCXS,CS last,1.685558468,2.329030544
45,7096,CS-DCXS,CS last,1.263495982,2.015031368
46,7108,CS-DCXS,CS last,8.964619249,6.600889117
47,8014,CS-DCS,CS last,1.663547456,2.063389271
48,8021,CS-DCS,CS last,4.6504457,2.538724869
49,8028,CS-CXS,CS last,1.307943404,0.554966867
50,8035,CS-CXS,CS first,7.128486395,6.253366411
51,8042,CS-DCS,CS first,1.380508661,0.270805508
52,8049,CS-DCXS,CS first,1.063927978,0.78857094
53,8063,CS-CXS,CS last,1.714085728,4.698850363
54,8070,CS-CXS,CS last,3.184877276,0.506331205
55,9034,CS-DCS,CS last,1.399526447,1.160626382
56,9068,CS-DCXS,CS last,1.505815774,2.989087164
57,9085,CS-DCS,CS first,2.152953863,3.771843374
58,9136,CS-DCXS,CS first,3.132764697,1.972982645
59,9245,CS-DCS,CS last,2.829112351,4.391006768
60,9377,CS-CXS,CS first,5.649957031,3.564260811
