,,CS,CXS,CS,CXS
0,2009,2.136825889,2.418747336,0.0,1.0
1,2054,2.682234585,1.904299438,0.0,1.0
2,2072,0.171193004,1.37160027,1.0,1.0
3,2081,1.521624893,0.479814023,1.0,1.0
4,3024,6.25273934,6.949904561,0.0,1.0
5,3036,1.013592303,0.988428801,1.0,1.0
6,3054,0.74690792,0.518164843,1.0,1.0
7,4005,6.610125452,6.709229589,1.0,1.0
8,4010,5.8699525,5.827048928,0.0,1.0
9,5065,6.25459522,2.017246276,0.0,1.0
10,5104,1.926959634,1.347315222,1.0,1.0
11,6016,1.017442048,4.908284694,0.0,1.0
12,6064,1.050939411,0.630859464,0.0,1.0
13,6066,5.181691498,3.166152596,1.0,1.0
14,7072,4.2829023,4.278674841,1.0,1.0
15,8028,1.307943404,0.554966867,1.0,1.0
16,8035,7.128486395,6.253366411,0.0,1.0
17,8063,1.714085728,4.698850363,1.0,1.0
18,8070,3.184877276,0.506331205,1.0,1.0
19,9377,5.649957031,3.564260811,0.0,1.0
