,,CS,DCS,CS,DCS
0,2036,4.985466957,5.078782111,1.0,1.0
1,3012,3.139923006,3.378880173,0.0,1.0
2,3048,4.931345522,6.597819924,0.0,1.0
3,4025,3.62702933,0.092736781,1.0,1.0
4,4030,1.111238569,3.991026938,0.0,1.0
5,4035,0.493913859,0.602610171,0.0,1.0
6,4050,2.934789777,1.241467267,1.0,1.0
7,6024,0.969105124,1.176901162,0.0,1.0
8,6032,3.172792733,1.728960156,0.0,1.0
9,7024,3.832455397,4.205498219,1.0,1.0
10,7036,6.493551075,6.070142776,0.0,1.0
11,7048,2.049452513,4.283780962,0.0,1.0
12,8014,1.663547456,2.063389271,1.0,1.0
13,8021,4.6504457,2.538724869,1.0,1.0
14,8042,1.380508661,0.270805508,0.0,1.0
15,9034,1.399526447,1.160626382,1.0,1.0
16,9085,2.152953863,3.771843374,0.0,1.0
17,9245,2.829112351,4.391006768,1.0,1.0
