,,CS,DCXS,CS,DCXS
0,2063,1.0419994,1.503473729,0.0,1.0
1,2090,2.037271827,8.823502958,0.0,1.0
2,3006,10.57722139,4.323768348,1.0,1.0
3,3018,6.048162699,7.800600946,1.0,1.0
4,3060,1.403296977,1.39571774,1.0,1.0
5,4015,6.346145868,4.923098028,0.0,1.0
6,4020,1.073206365,1.463096797,1.0,1.0
7,5026,7.642329752,6.042562783,1.0,1.0
8,5039,4.109154522,4.431202799,1.0,1.0
9,5091,1.332175463,0.583593428,0.0,1.0
10,5117,6.903995216,4.871521413,0.0,1.0
11,5130,1.742213935,1.371861339,0.0,1.0
12,6008,6.295553535,6.539051056,0.0,1.0
13,6048,3.771636546,2.081185013,0.0,1.0
14,6072,5.69055602,4.096939921,1.0,1.0
15,6080,6.0826208,1.550260991,1.0,1.0
16,7012,4.637084454,6.248952866,0.0,1.0
17,7084,1.685558468,2.329030544,1.0,1.0
18,7096,1.263495982,2.015031368,1.0,1.0
19,7108,8.964619249,6.600889117,1.0,1.0
20,8049,1.063927978,0.78857094,0.0,1.0
21,9068,1.505815774,2.989087164,1.0,1.0
22,9136,3.132764697,1.972982645,0.0,1.0
