,,CS,CXS,CS,CXS
0,2009,0.0,1.0,34.0,37.5625
1,2054,0.0,1.0,27.375,35.15625
2,2072,1.0,1.0,41.8125,38.375
3,2081,1.0,1.0,7.875,17.90625
4,3024,0.0,1.0,38.53125,41.46875
5,3036,1.0,1.0,24.0,29.125
6,3054,1.0,1.0,15.375,23.0
7,4005,1.0,1.0,45.9375,48.0
8,4010,0.0,1.0,41.40625,45.21875
9,5065,0.0,1.0,43.625,45.03125
10,5104,1.0,1.0,31.25,35.6875
11,6016,0.0,1.0,7.875,7.875
12,6064,0.0,1.0,31.5,34.125
13,6066,1.0,1.0,7.875,15.875
14,7072,1.0,1.0,34.78125,39.0
15,8028,1.0,1.0,18.40625,15.65625
16,8035,0.0,1.0,39.25,45.09375
17,8063,1.0,1.0,36.0625,39.90625
18,8070,1.0,1.0,27.53125,30.78125
19,9377,0.0,1.0,45.625,42.0
