,,CS,DCS,CS,DCS
0,2036,1.0,1.0,35.8125,24.84375
1,3012,0.0,1.0,19.84375,29.8125
2,3048,0.0,1.0,7.875,7.875
3,4025,1.0,1.0,16.125,9.84375
4,4030,0.0,1.0,39.46875,34.5
5,4035,0.0,1.0,7.84375,14.375
6,4050,1.0,1.0,30.125,41.875
7,6024,0.0,1.0,9.875,9.75
8,6032,0.0,1.0,29.1875,36.65625
9,7024,1.0,1.0,26.59375,32.71875
10,7036,0.0,1.0,36.3125,43.8125
11,7048,0.0,1.0,32.5,32.5
12,8014,1.0,1.0,44.0,33.9375
13,8021,1.0,1.0,34.40625,33.03125
14,8042,0.0,1.0,14.125,18.40625
15,9034,1.0,1.0,23.21875,17.21875
16,9085,0.0,1.0,41.71875,37.1875
17,9245,1.0,1.0,38.0,28.34375
