,,CS,DCXS,CS,DCXS
0,2063,0.0,1.0,39.9375,36.9375
1,2090,0.0,1.0,43.96875,41.90625
2,3006,1.0,1.0,47.8125,41.90625
3,3018,1.0,1.0,41.9375,39.96875
4,3060,1.0,1.0,7.875,21.59375
5,4015,0.0,1.0,42.0,32.0
6,4020,1.0,1.0,34.71875,30.46875
7,5026,1.0,1.0,38.46875,39.0625
8,5039,1.0,1.0,36.0,46.0
9,5091,0.0,1.0,19.75,28.59375
10,5117,0.0,1.0,46.0,41.46875
11,5130,0.0,1.0,43.9375,39.1875
12,6008,0.0,1.0,37.96875,36.09375
13,6048,0.0,1.0,36.96875,32.59375
14,6072,1.0,1.0,42.0,43.96875
15,6080,1.0,1.0,42.0,39.0
16,7012,0.0,1.0,41.8125,48.0
17,7084,1.0,1.0,41.65625,39.875
18,7096,1.0,1.0,28.8125,34.03125
19,7108,1.0,1.0,33.9375,42.96875
20,8049,0.0,1.0,11.875,7.375
21,9068,1.0,1.0,7.875,11.875
22,9136,0.0,1.0,39.96875,37.9375
